n_estimators,min_samples_split,max_features,accuracy,f1,roc_auc,pr_auc,matthews
150,1391,7,0.9575284531604644,0.9092874829979423,0.9943740707302436,0.9839117675418925,0.8834550628616237
200,1391,7,0.9574141506507079,0.9089830390172402,0.9943552172486824,0.9838316420494735,0.8831345390774604
300,1391,7,0.9575284531604644,0.9091988130563798,0.9943784703556735,0.9838758702211162,0.8834535512503315
50,891,7,0.9640763540765174,0.9239648856017142,0.9953812956750956,0.986708800319716,0.9017035155546962
100,891,7,0.963080289348639,0.9217511680221492,0.9954307306551068,0.986818212877558,0.8989348259974059
150,891,7,0.9632925654381869,0.9222414389484608,0.995505145778588,0.9870249554933421,0.8995259143533891
200,891,7,0.9631619339984651,0.9220132743362832,0.995540021841082,0.9870634545689793,0.8991661988770717
300,891,7,0.9630966182786042,0.9218101300858013,0.995539587203568,0.9870628060659841,0.8989812737478429
50,1113,7,0.9593736222465342,0.9132617487100823,0.9947259112369049,0.9848884216221379,0.8886069273571096
100,1113,7,0.9600104505151777,0.9147610594827886,0.9948894731050321,0.985318960322904,0.890383171268051
150,1113,7,0.9604186737643082,0.9157221333704193,0.9949734603281976,0.9855430854905267,0.8915218330430673
200,1113,7,0.9600920951650038,0.9149735596994155,0.9949941459076236,0.9855781224351463,0.8906110880473594
300,1113,7,0.9603207001845169,0.9155311457174639,0.995025967993944,0.9856687323952342,0.8912492464842191
50,713,7,0.9673094822096308,0.9311838306063522,0.9958391395220356,0.9879535772404402,0.9106786054566712
100,713,7,0.966721640730883,0.9299174690508941,0.9958863545405727,0.9880845032774166,0.9090518704749422
150,713,7,0.9666726539409872,0.9298263709816056,0.9959488013012553,0.9882542136599763,0.9089176406555918
200,713,7,0.9670155614702568,0.930569876950574,0.9959981254630922,0.988356407696822,0.9098670761736045
300,713,7,0.9669339168204307,0.9303860565849634,0.9960114222047824,0.988398573603405,0.9096404007060387
50,571,7,0.9680279551281005,0.9328163601427395,0.9961865523389243,0.9888611757866905,0.9126740055898509
100,571,7,0.9681585865678222,0.933109220636663,0.9963360964276311,0.9892892342485439,0.9130364339683978
150,571,7,0.9688607305563266,0.9346671691390592,0.9963819247797955,0.9893935872640631,0.9149824134397511
200,571,7,0.9688607305563266,0.9346716453701484,0.996390582989343,0.9894372753164964,0.9149829829000529
300,571,7,0.9692362959455267,0.9354794520547945,0.9964245336481237,0.9895612031606554,0.9160203894631823
50,4241,7,0.9492170278081677,0.890237876755841,0.9895616044259846,0.9718746339854772,0.8601231368397297
100,4241,7,0.9495272774775069,0.8912117692605498,0.9897101245259793,0.9722228360097465,0.8610043586808257
150,4241,7,0.9497232246370896,0.891573053491566,0.9899539748808128,0.9727820116482272,0.8615531195648277
200,4241,7,0.9495436064074722,0.8912967002040385,0.9900445982416485,0.9729639949211767,0.8610525883336694
300,4241,7,0.9496579089172287,0.8917751957033032,0.9902478747528046,0.9734537679801374,0.8613886148853811
50,1738,7,0.9547688639963423,0.9027729027729028,0.9930070465189567,0.9803727935396931,0.8757302470316762
100,1738,7,0.9558792312339772,0.9052860347728547,0.9934717143187838,0.9815416973666469,0.8788411967886323
150,1738,7,0.9561731519733512,0.9059960773325861,0.9936545650255845,0.982014662347123,0.87966311585587
200,1738,7,0.9557649287242207,0.9051238048541309,0.9937084737496745,0.9821107030069691,0.8785195535190327
300,1738,7,0.9558465733740468,0.9052690582959642,0.9937379643367485,0.9821677466239936,0.8787486160236996
50,2172,7,0.9536584967587074,0.9003161222339304,0.9922846890453118,0.9784764290945634,0.8726149427114924
100,2172,7,0.9547362061364119,0.9028118645256293,0.9926853082581223,0.97947026913813,0.875637277948377
150,2172,7,0.9541973514475597,0.9015824006175222,0.9928389598152547,0.9798627655857628,0.8741264077176922
200,2172,7,0.9543606407472118,0.9018919582996946,0.9929045382687522,0.9799803056670909,0.8745848685049451
300,2172,7,0.9540993778677683,0.9012956915622037,0.9929961316484102,0.9802049458800282,0.8738521540482859
50,3393,7,0.9501967636060809,0.8927717620587822,0.9905610742574479,0.9742249054906899,0.862891282321113
100,3393,7,0.9506703025750722,0.8937053587136272,0.9907205113867847,0.9745768068355904,0.8642188845559671
150,3393,7,0.9510132101043418,0.8943736356594606,0.9909614380127795,0.9752150998599041,0.8651818489551244
200,3393,7,0.9510295390343071,0.894434862191559,0.9909593411026545,0.975160603329658,0.8652280415137539
300,3393,7,0.951470420143368,0.8955433712920006,0.9910783367944439,0.9754731603995022,0.8664701229085758
50,2715,7,0.9525971163109681,0.897957748954269,0.9914234612879981,0.9763992826100966,0.8696346863881924
100,2715,7,0.9521235773419768,0.8972957825416842,0.991600316299823,0.9767786798073737,0.8683182787161187
150,2715,7,0.9528420502604464,0.8987377279102384,0.9918564876207363,0.9774396118839765,0.8703267801844264
200,2715,7,0.9527930634705508,0.898500860162202,0.9917939300418799,0.9772112571675182,0.870185934099257
300,2715,7,0.9529726817001681,0.898989898989899,0.9919635221457125,0.9776769946015531,0.8706921444773742
50,6626,7,0.9462288336245326,0.8850329923541529,0.9879389226871367,0.9682213530682535,0.8518763478493938
100,6626,7,0.9458042814454369,0.8843110599881487,0.9878818844290272,0.9678625233673175,0.8507324873265966
150,6626,7,0.9456736500057151,0.883967495553308,0.9881235076264017,0.9684373219284196,0.8503524725671691
