ccp_alpha,depth,nodes,accuracy,f1,roc_auc,pr_auc,matthews
2.0418092049830508e-06,38,8123,0.9881451968452507,0.975854729280298,0.9808747526980909,0.9591008928862466,0.9679988719089565
2.041907218097732e-06,38,8119,0.9881288679152855,0.9758206671766388,0.980919369246326,0.959140928396162,0.9679540940501379
2.0421654993762876e-06,38,8115,0.9881288679152855,0.9758206671766388,0.9809193332663992,0.9591408315107194,0.9679540940501379
2.0421966450599e-06,38,8099,0.9881288679152855,0.9758206671766388,0.9810630126270632,0.9592767663254339,0.9679540940501379
2.044287988270412e-06,38,8095,0.9881288679152855,0.9758206671766388,0.9810607674796407,0.9592583563999213,0.9679540940501379
2.045269647074612e-06,38,8087,0.9881451968452507,0.975853123129116,0.9810747471203386,0.9593459489066612,0.967997477666287
2.0456346865498974e-06,38,8075,0.9881451968452507,0.975853123129116,0.9811209935592506,0.9593761123121304,0.967997477666287
2.045412260563586e-06,38,8083,0.9881451968452507,0.975853123129116,0.9810743635743205,0.9593436165522417,0.967997477666287
2.0454216883526366e-06,38,8079,0.9881451968452507,0.975853123129116,0.9811225601252567,0.959388970627205,0.967997477666287
2.0460480295861803e-06,38,8067,0.9881451968452507,0.975853123129116,0.9812124171136547,0.9594654804835859,0.967997477666287
2.046148820129509e-06,38,8059,0.9881288679152855,0.9758206671766388,0.9812214826159718,0.9595195727719851,0.9679540940501379
2.0470131465812654e-06,38,8051,0.9881288679152855,0.9758206671766388,0.9812656091176059,0.9595441506932334,0.9679540940501379
2.047195346238285e-06,38,8047,0.9881451968452507,0.975853123129116,0.9813259172314487,0.9596770332232332,0.967997477666287
2.0473117344184617e-06,38,8043,0.9881451968452507,0.975853123129116,0.9813259848737108,0.9596772084680276,0.967997477666287
2.0475497162134034e-06,38,8035,0.9881778547051812,0.9759180415114422,0.9813980656195511,0.9598977719496281,0.9680842563901868
2.047891316099319e-06,38,8031,0.9881941836351464,0.9759505039417223,0.9814096382031567,0.9599857068797113,0.9681276514992136
2.048381242251493e-06,38,8027,0.9881941836351464,0.9759505039417223,0.981418179837742,0.9600300017477998,0.9681276514992136
2.049142892151945e-06,38,8015,0.9881941836351464,0.9759505039417223,0.9814075312186527,0.960028368597597,0.9681276514992136
2.049069619503291e-06,38,8019,0.9881941836351464,0.9759505039417223,0.9814112256375204,0.9600289341324632,0.9681276514992136
2.050459080596156e-06,38,7999,0.9881941836351464,0.9759505039417223,0.9813973769637552,0.9599648905243742,0.9681276514992136
2.0498431186733202e-06,38,8003,0.9881941836351464,0.9759505039417223,0.9813972416792311,0.9599645458964233,0.9681276514992136
2.0495002093891852e-06,38,8007,0.9881941836351464,0.9759505039417223,0.9813998495043141,0.959964944416596,0.9681276514992136
2.051201039438479e-06,38,7995,0.9881941836351464,0.9759505039417223,0.9814065518450494,0.960014648461522,0.9681276514992136
2.0522567270552745e-06,38,7991,0.9881941836351464,0.9759505039417223,0.981453906465702,0.9600589889250425,0.9681276514992136
2.052823023061633e-06,38,7987,0.9881941836351464,0.9759505039417223,0.9814482187588981,0.9600118003094877,0.9681276514992136
2.054134207427663e-06,38,7975,0.9881941836351464,0.9759505039417223,0.9814847592527987,0.9600543486713116,0.9681276514992136
2.053001918314189e-06,38,7979,0.9881941836351464,0.9759505039417223,0.9814895086031157,0.9600550747510935,0.9681276514992136
2.0553381936124107e-06,38,7967,0.9881941836351464,0.9759505039417223,0.981522398573659,0.960096406789507,0.9681276514992136
2.0552161136531807e-06,38,7971,0.9881941836351464,0.9759505039417223,0.9814794342236554,0.9600537093717637,0.9681276514992136
2.0555164433401097e-06,38,7963,0.9881941836351464,0.9759505039417223,0.981519214350151,0.9600960253482896,0.9681276514992136
2.0560783230301916e-06,38,7951,0.9881941836351464,0.9759505039417223,0.9815473815955232,0.9602535030825133,0.9681276514992136
2.0560186189689285e-06,38,7959,0.9881941836351464,0.9759505039417223,0.9815412427004393,0.9602276988649051,0.9681276514992136
2.0569413408548e-06,38,7935,0.9882105125651116,0.9759845662586483,0.981613373818177,0.9604120615215808,0.9681724219538674
2.0568065919952826e-06,38,7947,0.9881941836351464,0.9759505039417223,0.9815414780091595,0.9602033185809641,0.9681276514992136
2.056829313114454e-06,38,7939,0.9882105125651116,0.9759845662586483,0.9816208864268602,0.9604127145000855,0.9681724219538674
2.0573240276159062e-06,38,7923,0.9882105125651116,0.9759845662586483,0.9816365182657898,0.9605273854270422,0.9681724219538674
2.0572416555776278e-06,38,7931,0.9882105125651116,0.9759845662586483,0.9816361260845894,0.9605517189142975,0.9681724219538674
2.0576393746464923e-06,38,7919,0.9881941836351464,0.9759505039417223,0.9817738334970291,0.960647731007301,0.9681276514992136
2.059786857691314e-06,38,7907,0.9882105125651116,0.9759829685317012,0.9818745204433467,0.9608235376838867,0.9681710504404758
2.059999821661941e-06,38,7899,0.9882105125651116,0.9759829685317012,0.9818835370129635,0.960847297653912,0.9681710504404758
2.06026528175551e-06,38,7895,0.9882105125651116,0.9759829685317012,0.9819007282219138,0.960942401857063,0.9681710504404758
2.060535941934389e-06,38,7887,0.9882105125651116,0.9759829685317012,0.9819307318827419,0.9609830806245945,0.9681710504404758
